"SE33"
"4.2"	0.002
"14"	0.007
"15"	0.015
"16"	0.022
"17"	0.055
"18"	0.062
"19"	0.084
"20"	0.068
"20.2"	0.007
"21"	0.046
"21.2"	0.007
"22"	0.011
"22.2"	0.022
"23"	0.013
"23.1"	0.002
"23.2"	0.026
"24.2"	0.068
"25"	0.002
"25.2"	0.046
"26"	0.004
"26.2"	0.059
"27"	0.007
"27.2"	0.095
"28"	0.002
"28.2"	0.053
"29.2"	0.077
"30.2"	0.048
"31.1"	0.002
"31.2"	0.048
"32.2"	0.020
"33"	0.002
"33.2"	0.009
"34.2"	0.004
